University,Location,Mission,Tuition,TuitionIS,UndergradEnroll,Choice
Evangel University,"Springfield, MO",Evangel University is a comprehensive Christian university committed to excellence in educating and equipping students to become Spirit-empowered servants of God who impact the Church and society globally.,34771,20874,384,0
Felician University,"Lodi, NJ","Felician is an independent co-educational Catholic/Franciscan University founded and sponsored by the Felician Sisters to educate a diverse population of students within the framework of a liberal arts tradition. Its mission is to provide a full complement of learning experiences, reinforced with strong academic and student development programs designed to bring students to their highest potential and prepare them to meet the challenges of the new century with informed minds and understanding hearts. The enduring purpose of Felician University is to promote a love for learning, a desire for God, self-knowledge, service to others, and respect for all creation.",49720,30680,312,0
Finlandia University,"Hancock, MI","A learning community dedicated to academic excellence, spiritual growth and service.",36088,22253,144,0
Fisk University,"Nashville, TN","Fisk University produces graduates from diverse backgrounds with the integrity and intellect required for substantive contributions to society.  Our curriculum is grounded in the liberal arts, and our faculty and administrators emphasize the discovery and advancement of knowledge through research in the natural and social sciences, business and the humanities.  We are committed to the success of scholars and leaders with global perspective.",39170,19624,123,0
Florida College,"Temple Terrace, FL","Florida College, as a private, independent liberal arts college, provides a comprehensive college experience designed to develop students spiritually, mentally, physically, and socially; to integrate into the students’ lives the Bible as the revealed will of God; and to prepare students for lives of service to their Creator and to humanity.",29330,15670,176,0
Florida Institute of Technology,"Melbourne, FL","With our focus on student success, Florida Institute of Technology's mission is to provide high-quality educational experiences to a culturally diverse student body in order to prepare them for entering the global workforce, seeking higher-education opportunities, and serving within their communities.  The university also seeks to further knowledge through basic and applied research and to serve the diverse economic, cultural, and societal needs of our local, state, national and international constituencies.  In support of this mission, we are committed to: -	Fostering and sustaining a productive institutional culture of assessment leading to the continuous improvement of academic and administrative programs in order to promote student development; -	Developing an organizational culture that values and encourages intellectual curiosity, a sense of belonging and shared purpose among faculty, students and staff, and pursuit of excellence in all endeavors; -	Recruiting and developing faculty who are internationally recognized as educators, scholars and researchers; -	Achieving recognition as an effective, innovative, technology-focused educational and research institution; -	Recruiting and retaining an excellent, high selective and culturally diverse student body; -	Continually improving the quality of campus life for members of the university community; -	Providing personal and career growth opportunities for both traditional and nontraditional students and members of the faculty and staff, including those who avail themselves of Florida Tech University Online; -	Securing and maintaining professional accreditation for all appropriate programs.",58256,39696,565,0
Florida International University,"Miami, FL","Florida International University is an urban, multi-campus, public research university serving its students and the diverse population of South Florida. We are committed to high-quality teaching, state-of-the-art research and creative activity, and collaborative engagement with our local and global communities.",23512,4721,3860,1
Florida Keys Community College,"Key West, FL","Florida Keys Community College is an open-access, educational institution dedicated to serving the intellectual, diverse, cultural, and occupational needs of the Florida Keys as well as the global community. The college is committed to student-centric academic programs and services, workforce development, continuing education, diverse partnerships, electronically delivered instruction, and sustainable practices that prepare students for personal success and responsible citizenship.",18136,2483,197,1
Fort Hays State University,"Hays, KS","Fort Hays State University provides accessible quality education to Kansas, the nation, and the world through an innovative community of teacher-scholars and professionals to develop engaged global citizen-leaders.",17510,3789,977,1
Fort Valley State University,"Fort Valley, GA","The mission of Fort Valley State University is to advance the cause of education with emphasis upon fulfilling commitments that our community members have undertaken collectively. As an institution of the University System of Georgia, Fort Valley State University naturally embraces the principles articulated by the Core Mission Statement for State Universities as approved by the Board of Regents of the University System of Georgia. The university's primary commitments include, among others, enhancement of teacher training programs grounded upon a liberal arts foundation, as reflective of over 110 years of experience and tradition. Additionally, the university recognizes with great pride and desires to further its responsibilities as Georgia's only 1890 Land Grant institution by offering programming excellence in agriculture, agribusiness, family and consumer sciences, extension, technology and military science and leadership, as well as to further its traditions of excellence in programs in the liberal arts and humanities, social sciences, and natural and physical sciences.",20044,3886,506,0
Franklin and Marshall College,"Lancaster, PA","Franklin & Marshall is a residential college dedicated to excellence in undergraduate liberal education. Its aims are to inspire in young people of high promise and diverse backgrounds a genuine and enduring love for learning, to teach them to read, write, and think critically, to instill in them the capacity for both independent and collaborative action, and to educate them to explore and understand the natural, social and cultural worlds in which they live. In so doing, the College seeks to foster in its students qualities of intellect, creativity, and character, that they may live fulfilling lives and contribute meaningfully to their occupations, their communities, and their world.",67880,52190,539,0
Gadsden State Community College,"Gadsden, AL","Gadsden State Community College is an affordable, accessible and comprehensive community college that prepares our diverse student population for success through quality education, innovative workforce development and meaningful community engagement. We foster the development of lifelong learners by giving students the opportunities to develop skills that empower them to contribute to the social, cultural and economic life of our communities, our nation and our world.",10688,3510,1196,0
Garden City Community College,"Garden City, KS",Garden City Community College exists to produce positive contributors to the economic and social well-being of society.,13610,1824,561,0
Georgia Gwinnett College,"Lawrenceville, GA","Georgia Gwinnett College provides access to targeted baccalaureate and associate level degrees that meet the economic development needs of the growing and diverse population of the northeast Atlanta metropolitan region. It emphasizes the innovative use of technology and active-learning environments to provide students enhanced learning experiences, practical opportunities to apply knowledge, increased scheduling flexibility, and a variety of course delivery options. Georgia Gwinnett’s outstanding faculty and staff actively engage students in various learning environments, serve as mentors and advisors, and assist students through programs designed to enhance their academic, social, and personal development. GGC produces contributing citizens and future leaders for Georgia and the nation. Its graduates are inspired to contribute to the local, state, national, and international communities and are prepared to anticipate and respond effectively to an uncertain and changing world.",23868,3075,2419,0
Georgia State University,"Atlanta, GA","Georgia State University, an enterprising public research university, transforms the lives of students, advances the frontiers of knowledge and strengthens the workforce of the future. The university provides an outstanding education and exceptional support for students from all backgrounds. Georgia State readies students for professional pursuits, educates future leaders, and prepares citizens for lifelong learning. Enrolling one of the most diverse student bodies in the nation at its urban research campus, at its vibrant branch campuses, and online, the university provides educational opportunities for tens of thousands of students at the graduate, baccalaureate, associate, and certificate levels.  Georgia State’s scholarship and research focus on solving complex issues ranging from the most fundamental questions of the universe to the most challenging issues of our day. The scholarly work and artistic expression of the university’s faculty create new knowledge, extend the boundaries of imagination, and enhance student learning. The university’s presence in the Atlanta metropolitan area provides extraordinary experiential learning opportunities and supports the work of faculty tackling the challenges of an urbanizing nation and world.",27088,6846,3825,0
Grace Bible College,"Wyoming, MI",Graduating Godly individuals prepared to serve Christ in church and society.,22754,11890,129,0
Grambling State University,"Grambling, LA","Mission Statement: Grambling State University is a comprehensive, historically-black, public institution that offers a broad spectrum of undergraduate and graduate programs of study. Through its undergraduate major courses of study, which are under girded by a traditional liberal arts program, and through its graduate school, which has a decidedly professional focus, the University embraces its founding principle of educational opportunity. With a commitment to the education of minorities in American society, the University seeks to reflect in all of its programs the diversity present in the world. The university advances the study and preservation of African American history, art and culture. Grambling State University is a community of learners who strive for excellence in their pursuit of knowledge and who seek to contribute to their respective major academic disciplines. The University prepares its graduates to compete and succeed in careers related to its programs of study, to contribute to the advancement of knowledge, and to lead productive lives as informed citizens in a democratic society. The University provides its students a living and learning environment which nurtures their development for leadership in academics, athletics, campus governance, and in their future pursuits. The University affords each student the opportunity to pursue any program of study provided that the student makes reasonable progress and demonstrates that progress in standard ways. Grambling fosters, in its students, a commitment to service and to the improvement in the quality of life for all persons. The University expects that all persons who matriculate and who are employed at Grambling will reflect through their study and work that the University is indeed a place where all persons are valued, “where everybody is somebody.",25717,5140,853,0
Grand Valley State University,"Allendale, MI","Grand Valley State University educates students to shape their lives, their professions and their societies. The university contributes to the enrichment of society through excellent teaching, active scholarship and public service.",23066,11832,4282,0
Great Lakes Christian College,"Lansing, MI","Great Lakes Christian College, an institution of higher education affiliated with Christian Churches/Churches of Christ, seeks to glorify God by preparing students to be servant-leaders in the church and world.",24992,13650,23,0
Greensboro College,"Greensboro, NC","Greensboro College, an independent, coeducational college affiliated with the United Methodist Church, is an academic and social community that unites the liberal arts and Judeo-Christian values in an atmosphere of diversity and mutual respect.  True to the United Methodist Church's historic ideal of nonsectarian education, Greensboro College's central purpose is the intellectual development of its students within the dual traditions of the liberal arts and the Judeo-Christian faith. Through a disciplined pursuit of truth, its students acquire knowledge and develop a critical awareness that allows them to live humanely, responsibly and productively in a free society. Such lives are characterized by clarity of thought and expression, the ability to reason, a sense of history and a global perspective, an understanding of literature and language, a knowledge of mathematics and science, an appreciation of the arts, an awareness of political and social realities, a familiarity with the biblical tradition and an ethical awareness, a respect for physical soundness, and an understanding of technology.  Through its student development services and other cocurricular offerings, Greensboro College encourages the personal and spiritual development of its students. A range of religious, cultural, service, social and athletic programs allows students to participate meaningfully in a rich campus and community life and encourages students to develop a system of values consistent with the mission of the College.  Through its professional, pre-professional and career-oriented programs, both undergraduate and graduate, Greensboro College encourages, as well, the professional development of its students. Indeed, the College believes the liberal arts curriculum to be the most appropriate context for such programs. A liberal education provides basic intellectual and communicative capabilities that enable a person to develop and to adapt throughout a productive lifetime.",41000,27350,247,0
Hampshire College,"Amherst, MA","The mission of Hampshire College is to foster a lifelong passion for learning, inquiry, and ethical citizenship that inspires students to contribute to knowledge, justice, and positive change in the world and, by doing so, to transform higher education.",65212,48810,302,0
Hanover College,"Hanover, IN","Hanover College is a challenging and supportive community whose members take responsibility for lifelong inquiry, transformative learning and meaningful service.",49064,34744,306,0
Harcum College,"Bryn Mawr, PA","Harcum College provides its students with an opportunity  for outstanding academic, career, and life preparation. We  teach, mentor and prepare students for success in their  chosen profession in an experiential environment. Harcum’s  core values of excellence, civility, empowerment, integrity,  community service and respect for diversity assure that every  student is valued and supported.",36055,22600,238,0
Harvey Mudd College,"Claremont, CA","Harvey Mudd College seeks to educate engineers, scientists, and mathematicians well versed in all of these areas and in the humanities and the social sciences so that they may assume leadership in their fields with a clear understanding of the impact of their work on society.",71917,52383,199,0
Hellenic College-Holy Cross Greek Orthodox School of Theology,"Brookline, MA","To be the intellectual, educational, and spiritual formation center of the Greek Orthodox Archdiocese of America, stimulating,developing, and sustaining ordained and lay vocations for service to church and society, based on faith.",41282,21940,11,0
Heritage Christian University,"Florence, AL","Heritage Christian University exists for the advancement of churches of Christ by equipping servants through undergraduate and graduate programs and continuing education. HCU produces effective communicators, preachers, teachers and missionaries for real-world ministry with a focus on evangelism and a commitment to scripture.",17560,8952,1,0
Hesston College,"Hesston, KS","Hesston College, a college of Mennonite Church USA, educates and nurtures each student within Christ-centered community, integrating thought, life and faith for service to others in the church and the world.",38270,25382,123,0
Hibbing Community College,"Hibbing, MN",Hibbing Community College provides life-changing education and opportunities in a dynamic learning environment.,16762,4681,206,0
Hickey College,"Saint Louis, MO",Hickey College is an institution of higher learning that provides a structured and accelerated educational experience in a professional environment which encourages lifelong learning. The college prepares students for entry into the workforce along with a solid base for future progress in a career field.,25096,13880,93,0
Highlands College of Montana Tech,"Butte, MT","Montana Tech's Highlands College prepares traditional and non-traditional students for their personal and/or educational goals through the integration of technology, communications, problem solving, and technical skills. We are committed to expand education opportunities through: service learning with work-based activities, a blend of theory and practice, alternative course deliver, and computer literacy.",16681,2380,145,0
Houghton College,"Houghton, NY","Houghton College provides an academically challenging, Christ-centered education in the liberal arts and sciences to students from diverse traditions and economic backgrounds and equips them to lead and labor as scholar-servants in a changing world.",42940,30136,233,0
Houston Baptist University,"Houston, TX","The mission of Houston Baptist University is to provide a learning experience that instills in students a passion for academic, spiritual, and professional excellence as a result of our central confession, “Jesus Christ is Lord”.",43832,28850,570,0
Howard Payne University,"Brownwood, TX","Howard Payne University is a Christ-centered academic community dedicated to excellence by developing and equipping the whole person for intellectual inquiry, personal and professional integrity, and service to God and humanity.",38326,24430,330,0
Howard University,"Washington, DC","Howard University, a culturally diverse, comprehensive, research intensive and historically Black private university, provides an educational experience of exceptional quality at the undergraduate, graduate, and professional levels to students of high academic standing and potential, with particular emphasis upon educational opportunities for Black students. Moreover, the University is dedicated to attracting and sustaining a cadre of faculty who are, through their teaching, research and service, committed to the development of distinguished, historically aware, and compassionate graduates and to the discovery of solutions to human problems in the United States and throughout the world. With an abiding interest in both domestic and international affairs, the University is committed to continuing to produce leaders for America and the global community.",41488,23419,816,0
Huntingdon College,"Montgomery, AL","Huntingdon College, a liberal arts college offering an undergraduate education, is committed to a teaching and learning environment that provides its graduates with an educational experience meeting the College’s vision.",36235,23237,274,0
Hutchinson Community College,"Hutchinson, KS",Expanding the tradition of excellence through learning and collaboration.,14234,2688,1113,1
Idaho State University,"Pocatello, ID","Idaho State University is a public research-based institution that advances scholarly and creative endeavors through academic instruction, and the creation of new knowledge, research, and artistic works. Idaho State University provides leadership in the health professions, biomedical, and pharmaceutical sciences, as well as serving the region and the nation through its environmental science and energy programs. The University provides access to its regional and rural communities through delivery of preeminent technical, undergraduate, graduate, professional, and interdisciplinary education. The University fosters a culture of diversity, and engages and impacts its communities through partnerships and services.",20540,5243,1358,0
Ilisagvik College,"Barrow, AK","Ilisagvik College provides quality post-secondary academic, vocational and technical education in a learning environment that perpetuates and strengthens Iñupiat culture, language, values and traditions. It is dedicated to providing well educated and trained individuals who meet the human resource needs of North Slope employers and the state of Alaska.",20600,3480,9,0
Illinois Institute of Technology,"Chicago, IL","To provide distinctive and relevant education in an environment of scientific, technological, and professional knowledge creation and innovation.",63427,42989,426,0
Indiana University-Bloomington,"Bloomington, IN","Bloomington is the flagship residential, doctoral-extensive campus of Indiana University. Its mission is to create, disseminate, preserve, and apply knowledge. It does so through its commitments to cutting-edge research, scholarship, arts, and creative activity; to challenging and inspired undergraduate, graduate, professional, and lifelong education; to culturally diverse and international educational programs and communities; to first-rate library and museum collections; to economic development in the state and region; and to meaningful experiences outside the classroom. The Bloomington campus is committed to full diversity, academic freedom, and meeting the changing educational and research needs of the state, the nation, and the world.",24809,9087,6975,0
Indiana University-Purdue University-Indianapolis,"Indianapolis, IN","Indiana University–Purdue University Indianapolis (IUPUI), a partnership between Indiana and Purdue Universities, is Indiana’s urban research and academic health sciences campus. IUPUI's mission is to advance the State of Indiana and the intellectual growth of its citizens to the highest levels nationally and internationally through research and creative activity, teaching and learning, and civic engagement. By offering a distinctive range of bachelor’s, master’s, professional, and Ph.D. degrees, IUPUI promotes the educational, cultural, and economic development of central Indiana and beyond through innovative collaborations, external partnerships, and a strong commitment to diversity.",22257,8141,3872,0
Indiana University-South Bend,"South Bend, IN","Indiana University South Bend is the comprehensive undergraduate and graduate regional campus of Indiana University that is committed to serving north central Indiana and southwestern Michigan. Its mission is to create, disseminate, preserve, and apply knowledge. The campus is committed to excellence in teaching, learning, research, and creative activity; to strong liberal arts and sciences programs and professional disciplines; to acclaimed programs in the arts and nursing/health professions; and to diversity, civic engagement, and a global perspective. IU South Bend supports student learning, access and success for a diverse residential and nonresidential student body that includes underrepresented and international students. The campus fosters student-faculty collaboration in research and learning. Committed to the economic development of its region and state, Indiana University South Bend meets the changing educational and research needs of the community and serves as a vibrant cultural resource.",19441,6478,891,0
Indiana University-Southeast,"New Albany, IN","Indiana University Southeast is the regional campus of Indiana University that serves southern Indiana and the greater Louisville metropolitan area. As a public comprehensive university, its mission is to provide high-quality educational programs and services that promote student learning and prepare students for productive citizenship in a diverse society, and to contribute to the intellectual, cultural, and economic development of the region. Its academic programs include a comprehensive array of baccalaureate degrees, a limited number of associate degrees, and a selected set of master's programs. The campus is committed to offering educational programs and services which promote and support diversity in all its aspects. The faculty engage in research and creative activities which strengthen teaching and learning through inquiry into both the content and the pedagogy of the disciplines and create opportunities for students to engage in applied learning. Finally, members of the campus community are committed to using their professional and personal expertise to address the intellectual, cultural, and economic development needs of the campus’ service region.",19991,6478,932,0
Institute of American Indian and Alaska Native Culture and Arts Development,"Santa Fe, NM","To empower creativity and leadership in Native arts and cultures through higher education, life-long learning and outreach.",20112,4460,64,0
International Business College-Fort Wayne,"Fort Wayne, IN","Continuing a tradition of excellence since 1889, International Business College delivers on a commitment to education that transforms the lives of students seeking careers in business, healthcare, and technology.  We provide value for students through diploma, associate degree, and bachelor's degree programs that can be completed in the shortest time practical and create attractive career opportunities for our graduates.",24606,13960,137,0
International Business College-Indianapolis,"Indianapolis, IN","International Business College is an accredited institution of higher learning, focused on preparing diverse students in the central Indiana area for success in specialized careers.  We offer both diplomas and associate degrees in the most efficient time frame to motivated students.  The college combines professional and general education in applied programs with the goal of meeting the demands of the ever-changing business community.  In addition to specific hands-on career skills, our students develop strengths in communication, critical thinking, and technology, as well as an appreciation for lifelong learning.",25439,13920,115,0
Iowa Central Community College,"Fort Dodge, IA",Iowa Central Community College provides quality educational opportunities in the classroom and outside of the classroom.,15924,5160,1253,0
Iowa Western Community College,"Council Bluffs, IA","Iowa Western Community College is a learning community committed to excellence in meeting the educational needs and improving the quality of life through programs, partnerships, and community involvement.",18678,5024,1051,0
Itasca Community College,"Grand Rapids, MN","Itasca Community College is committed to providing accessible, high-quality education that empowers our learners to pursue meaningful lives and productive careers.",16395,4681,285,0
Jacksonville College-Main Campus,"Jacksonville, TX","Jacksonville College exists to provide a quality education from a biblical worldview that challenges minds, transforms lives, and equips students for servant leadership and lifelong learning.",17602,6300,143,0
Jefferson Davis Community College,"Brewton, AL","Jefferson Davis Community College, one of the public two-year colleges of the Alabama College System, provides accessible quality educational opportunities through traditional classroom and distance learning formats, promotes economic growth, and enhances the quality of life for the college service area.",13288,3510,310,0
Jewish Theological Seminary of America,"New York, NY","The Jewish Theological Seminary of America is a preeminent institution of Jewish higher education that integrates rigorous academic scholarship and teaching with a commitment to strengthening Jewish tradition, Jewish lives, and Jewish communities.  JTS articulates a vision of Judaism that is learned and passionate, pluralist and authentic, traditional and egalitarian; one that is thoroughly grounded in Jewish texts, history, and practices, and fully engaged with the societies and cultures of the present. Our vision joins faith with inquiry; the covenant of our ancestors with the creative insights of today; intense involvement in the society and State of Israel with devotion to the flowering of Judaism throughout the world; service to the Jewish community, as well as to all of the communities of which Jews are a part: our society, our country, and our world.  JTS serves North American Jewry by educating intellectual and spiritual leaders for Conservative Judaism and the vital religious center, training rabbis, cantors, scholars, educators, communal professionals, and lay activists who are inspired by our vision of Torah and dedicated to assisting in its realization.",72120,50026,43,0
JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Imaging,"Plainfield, NJ",JFK Health is committed to excellence in providing quality and compassionate healthcare services to its diverse communities.,45502,10980,1,0
JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing,"Plainfield, NJ",JFK Health is committed to excellence in providing quality and compassionate healthcare services to its diverse communities.,37117,10980,4,0
Joe Kubert School of Cartoon and Graphic Art,"Dover, NJ",It is the aim and purpose of this institution to add to the ranks of the cartooning profession those people whose work and attitude reflects the highest level of the art.,33350,19600,33,0
John Wesley University,"High Point, NC","John Wesley University is a comprehensive Bible college rooted in traditional Christian values and committed to educate lifelong learners for ministry in the marketplace, society and world. We seek to provide an atmosphere that encourages intellectual development, spiritual maturation and professional competency.",26210,10500,32,0
Johns Hopkins University,"Baltimore, MD","The mission of The Johns Hopkins University is to educate its students and cultivate their capacity for life-long learning, to foster independent and original research, and to bring the benefits of discovery to the world.",67650,50410,1212,0
Johnson College,"Scranton, PA",Johnson College delivers industry-focused learning in a caring environment designed to develop graduates prepared to enter into and advance in their careers.,29335,16610,137,0
Johnson State College,"Johnson, VT","Johnson State College believes in the power of a liberal arts education to transform lives. We express this belief by providing high-impact, interdisciplinary learning experiences that cross academic and experiential boundaries; by creating opportunities for students to extend their classroom learning to the field, the laboratory, the studio, the community and the local and wider world; by recognizing and supporting the diverse starting points, backgrounds and goals of students; and by sustaining high standards, active participation, vigorous debate and mutual respect.",24028,10224,211,0
Kalamazoo College,"Kalamazoo, MI","The mission of Kalamazoo College is to prepare its graduates to better understand, live successfully within, and provide enlightened leadership to a richly diverse and increasingly complex world.",57116,44418,320,0
Kansas Christian College,"Overland Park, KS","KCCBS exists to develop servant leaders who know God, who have a passion for holiness of heart, and who are inspired and prepared for a lifetime of learning and Kingdom service.",15950,6600,36,0
Kehilath Yakov Rabbinical Seminary,"Ossining, NY","KYRS educational program was set to educate its students in Talmud,Halacha and Chassidus in a classroom setting. The studies absorbed during his college years will guide him throughout his future life. A KYRS graduate will enhance society with his valued education by fitting in with various vocations and community services, as well as prepare people for further study.The end goal of education is a life-long love of learning and scholarship.",14025,9600,38,0
Kentucky Christian University,"Grayson, KY",The mission of Kentucky Christian University is to engage students in a transformative educational experience that equips them as effective Christian professionals providing servant leadership for the church and society.,32502,18150,152,0
Kentucky Mountain Bible College,"Jackson, KY",Kentucky Mountain Bible College is a Bible-centered undergraduate higher educational institution in a residential setting whose mission is to equip God-called men and women with  - a passion to Know God - a passion to prepare for Missions - a passion to live and teach the message of Biblical holiness - and a passion to evangelize and disciple the world for Christ.,13460,6900,20,0
King's College,"Charlotte, NC","King's College is an institution of higher learning dedicated to quality education.  We prepare students in specific, career-focused programs of study that are completed in 8 to 16 months, and we strive to ensure that students graduate and are placed in a job within their career fields.",25776,14320,174,0
Laguna College of Art and Design,"Laguna Beach, CA","The Laguna College of Art + Design prepares women and men for careers as creative artists and designers in a culturally and ethnically diverse world through a curriculum that emphasizes the acquisition of skills based on observation, representation, and concept development.  The college is committed to offering its curriculum through accredited degree programs that imaginatively combine studio work with academic studies and to sharing its resources with the broader community through continuing education and exhibition programs.",47325,28950,82,0
Lamar Community College,"Lamar, CO",We enrich lives through Learning,16562,3288,207,0
Lancaster Bible College,"Lancaster, PA",Lancaster Bible College exists to educate Christian students to think and live a biblical worldview and to proclaim Christ by serving him in the Church and society.,33430,20320,177,0
Langston University,"Langston, OK","Grounded in its rich tradition as a historically Black college and university, and a land-grant institution, Langston University offers quality post-secondary education to diverse populations through academic, research, community engagement, extension, and co-curricular experiences that lead to professional competence and degree completion.",20184,3707,553,0
Le Moyne College,"Syracuse, NY",Le Moyne College is a diverse learning community that strives for academic excellence in the Catholic and Jesuit tradition through its comprehensive programs rooted in the liberal arts and sciences. Its emphasis is on education of the whole person and on the search for meaning and value as integral parts of the intellectual life. Le Moyne College seeks to prepare its members for leadership and service in their personal and professional lives to promote a more just society.,48700,32040,624,0
Le Moyne-Owen College,"Memphis, TN","LeMoyne-Owen College provides a transformative experience educating students for urban-focused leadership, scholarship, service and professional careers.",18980,10460,192,0
Lees-McRae College,"Banner Elk, NC","Lees-McRae educates and inspires students to approach life and work from a creative, collaborative, and critical perspective in preparation for diverse careers and environments.",41630,24878,178,0
Limestone College,"Gaffney, SC","From page eight of the Limestone College 2016-2017 Academic Catalog: ""The mission of Limestone College is to educate students from diverse backgrounds in the liberal arts and selected professional disciplines. By providing degree programs throughout South Carolina and by way of the Internet, Limestone College offers opportunities for personal and professional growth to individuals who may find access to higher education difficult.  In a nurturing, supportive environment based on Christian ideals and ethical principles, students are challenged to become critical thinkers and effective communicators who are prepared for responsible citizenship, successful careers, and graduate study.  The College's faculty and staff, academic and co-curricular programs, financial resources, and support services are dedicated to an educational climate that upholds high academic standards and fosters respect for learning and beauty, creativity and hard work, tolerance and personal integrity, vigorous activity and spiritual reflection.""",39618,23900,374,0
Lincoln College,"Lincoln, IL",Lincoln College uniquely empowers students to realize their full potential.,30314,16700,296,0
Lincoln College of New England-Southington,"Southington, CT","Lincoln College of New England empowers students with knowledge and skills, while promoting the confidence and integrity necessary to succeed in diverse careers and communities. The College creates a student-centered 21st century learning environment providing a comprehensive education with an emphasis on career and applied knowledge.",37411,18780,86,0
LIU Brooklyn,"Brooklyn, NY","Long Island University's mission is to provide excellence and access in private higher education to people from all backgrounds who seek to expand their knowledge and prepare themselves for meaningful, educated lives and for service to their communities and the world.",54182,34352,684,0
LIU Post,"Brookville, NY","Long Island University's mission is to provide excellence and access in private higher education to people from all backgrounds who seek to expand their knowledge and prepare themselves for meaningful, educated lives and for service to their communities and the world.",54182,34352,500,0
Living Arts College,"Raleigh, NC",The Mission of Living Arts College @ School of Communication Arts is to provide educational experiences and resulting personal development for serious students within their chosen field of study at the College. They will benefit from programs dedicated to both current technical and current creative knowledge sets in their area of specialization. The College is dedicated to continuous development of curriculum to satisfy the always evolving elements of change for progress and improvement.,31497,15973,79,0
Louisburg College,"Louisburg, NC","Related by faith to The United Methodist Church, Louisburg College is committed to offering a supportive community which nurtures young men and women intellectually, culturally, socially, physically, and spiritually. As a two-year residential institution, we provide a bridge for students to make a successful transition from high school to senior colleges and universities.",31835,15388,338,0
Louisiana State University and Agricultural & Mechanical College,"Baton Rouge, LA","As the flagship institution of the state, the vision of Louisiana State University is to be a leading research-extensive university, challenging undergraduate and graduate students to achieve the highest levels of intellectual and personal development.  Designated as a land-, sea-, and space-grant institution, the mission of Louisiana State University is the generation, preservation, dissemination, and application of knowledge and cultivation of the arts.  In implementing its mission, LSU is committed to: *  offer a broad array of undergraduate degree programs and extensive graduate research opportunities designated to attract and educate highly qualified undergraduate and graduate students; *  employ faculty who are excellent teacher-scholars, nationally competitive in research and creative activities, and who contribute to a world-class knowledge base that is transferrable to educational, professional, cultural, and economic enterprises; and *  use its extensive resources to solve economic, environmental, and social challenges.",28934,8038,5409,1
Loyola University Maryland,"Baltimore, MD","Loyola University Maryland is a Jesuit Catholic university committed to the educational and spiritual traditions of the Society of Jesus and to the ideals of liberal education and the development of the whole person. Accordingly, the University will inspire students to learn, lead, and serve in a diverse and changing world.",63590,45030,1082,0
Lyndon State College,"Lyndonville, VT","Lyndon State College prepares every student for personal and professional success through experience-based, high-quality programs in the liberal arts and professional studies.",23878,10224,265,0
Machzikei Hadath Rabbinical College,"Brooklyn, NY",Machzikei Hadath Rabbinical College was founded in 1956 to provide a program of intensive study in Talmud and Rabbinical studies.,15200,11000,27,0
Malone University,"Canton, OH","The mission of Malone University is to provide students with an education based on biblical faith in order to develop men and women in intellectual maturity, wisdom, and Christian faith that are committed to serving the church, community, and world.",42650,28524,309,0
Manchester University,"North Manchester, IN","Manchester University respects the infinite worth of every individual and graduates persons of ability and conviction who draw upon their education and faith to lead principled, productive, and compassionate lives that improve the human condition.",43152,29650,365,0
Manhattan Christian College,"Manhattan, KS","To educate, equip, and enrich Christian leaders.",27688,14496,60,0
Marian University,"Fond Du Lac, WI","Marian University is a Catholic applied liberal arts community that welcomes diverse spiritual traditions. Sponsored by the Congregation of Sisters of St. Agnes, Marian University engages students in the education of the whole person. We embrace justice and compassion and transform lives for professional service and leadership in the global community.",39600,27860,265,0
Marist College,"Poughkeepsie, NY","Marist is dedicated to helping students develop the intellect, character and skills required for enlightened, ethical, and productive lives in the global community of the 21st century.",52760,34550,1187,0
Marshalltown Community College,"Marshalltown, IA","Iowa Valley Community College District is committed to providing quality learning experiences, ensuring student success, responding to diverse community needs, and building community partnerships.",17494,3912,363,0
Martin Luther College,"New Ulm, MN",Martin Luther College exists to serve the ministerial needs of the Wisconsin Evangelical Lutheran Synod (WELS) by preparing men for pastoral training at Wisconsin Lutheran Seminary and by preparing men and women for service as teachers and staff ministers in the Synod's churches and schools so that the WELS may be served by candidates both qualified and competent to proclaim the Word of God faithfully and in accord with the Lutheran Confessions in the Book of Concord.,24580,13980,192,0
Mercy College,"Dobbs Ferry, NY","Mercy College is committed to providing motivated students the opportunity to transform their lives through higher education by offering liberal arts and professional programs in personalized and high quality learning environments, thus preparing students to embark on rewarding careers, to continue learning throughout their lives and to act ethically and responsibly in a changing world.",36448,17772,933,0
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,"Brooklyn, NY","MESIVTA OF EASTERN PARKWAY-YESHIVA ZICHRON MEILECH seek to train students in the skills required for understanding, studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that, by its own definition, is good and moral.",16625,8600,8,0
Mesivta Torah Vodaath Rabbinical Seminary,"Brooklyn, NY","The founders of MTVRS had one motivation:  to provide scholastic and moral training for young Jewish men, in a world of conflicting ideologies and kaleidescopic social change.  It was the profound conviction of the men who received and executed the plans for the Mesivta that the truths and ideals revealed in the Bible, expounded upon in the Talmud, and elucidated by countless traditional commentaries, transcended the shifts of society with the veracity and vitality remaining undiminished through the ages.",19210,9800,5,0
